name,id,nametype,recclass,mass,fall,year,reclat,reclong,geolocation,:@computed_region_cbhk_fwbd,:@computed_region_nnqa_25f4
Aachen,1,Valid,L5,21.0,Fell,1880-01-01T00:00:00.000,50.775,6.08333,"{'latitude': '50.775', 'longitude': '6.08333'}",,
Aarhus,2,Valid,H6,720.0,Fell,1951-01-01T00:00:00.000,56.18333,10.23333,"{'latitude': '56.18333', 'longitude': '10.23333'}",,
Abee,6,Valid,EH4,107000.0,Fell,1952-01-01T00:00:00.000,54.21667,-113.0,"{'latitude': '54.21667', 'longitude': '-113.0'}",,
Acapulco,10,Valid,Acapulcoite,1914.0,Fell,1976-01-01T00:00:00.000,16.88333,-99.9,"{'latitude': '16.88333', 'longitude': '-99.9'}",,
Achiras,370,Valid,L6,780.0,Fell,1902-01-01T00:00:00.000,-33.16667,-64.95,"{'latitude': '-33.16667', 'longitude': '-64.95'}",,
Adhi Kot,379,Valid,EH4,4239.0,Fell,1919-01-01T00:00:00.000,32.1,71.8,"{'latitude': '32.1', 'longitude': '71.8'}",,
Adzhi-Bogdo (stone),390,Valid,LL3-6,910.0,Fell,1949-01-01T00:00:00.000,44.83333,95.16667,"{'latitude': '44.83333', 'longitude': '95.16667'}",,
Agen,392,Valid,H5,30000.0,Fell,1814-01-01T00:00:00.000,44.21667,0.61667,"{'latitude': '44.21667', 'longitude': '0.61667'}",,
Aguada,398,Valid,L6,1620.0,Fell,1930-01-01T00:00:00.000,-31.6,-65.23333,"{'latitude': '-31.6', 'longitude': '-65.23333'}",,
Aguila Blanca,417,Valid,L,1440.0,Fell,1920-01-01T00:00:00.000,-30.86667,-64.55,"{'latitude': '-30.86667', 'longitude': '-64.55'}",,
Aioun el Atrouss,423,Valid,Diogenite-pm,1000.0,Fell,1974-01-01T00:00:00.000,16.39806,-9.57028,"{'latitude': '16.39806', 'longitude': '-9.57028'}",,
Aïr,424,Valid,L6,24000.0,Fell,1925-01-01T00:00:00.000,19.08333,8.38333,"{'latitude': '19.08333', 'longitude': '8.38333'}",,
Aire-sur-la-Lys,425,Valid,Unknown,,Fell,1769-01-01T00:00:00.000,50.66667,2.33333,"{'latitude': '50.66667', 'longitude': '2.33333'}",,
Akaba,426,Valid,L6,779.0,Fell,1949-01-01T00:00:00.000,29.51667,35.05,"{'latitude': '29.51667', 'longitude': '35.05'}",,
Akbarpur,427,Valid,H4,1800.0,Fell,1838-01-01T00:00:00.000,29.71667,77.95,"{'latitude': '29.71667', 'longitude': '77.95'}",,
